NazRudy ; 380665456478
#1-я сборная лента УКТ бункер ;37-43
#1 лента 15 лавы ;37-44
#18 лава вентиляционная выработка, лебёдка ;37-45
#15 сбойка посадочная площадка ;37-46
#2-я блочная лента 824г. ;37-47
#15 сбойка РП №8 ;37-48
#Пустой ;37-49
#2-я лента С11, 7 сбойка ;37-50
#Стволовой 624г. ;37-51, ШТСИ бит №6
#Стволовой вентиляционного ствола ;37-52, ШТСИ бит №8
#Породная загрузка в шахте ;37-53
#Пустой ;37-54
#Распред 15 лавы (низ) ;37-55, ШТСИ бит №2
#Пустой ;37-56
#1-я блочная лента 824г. ;37-57
#Раздатчик г.824м., склад ВМ ;37-58
#4-я лента С11 ;37-59
#1-я лента КПП ;37-60
#Угольная загрузка в шахте ;37-61
#4-я блочная лента 824г., 4 заезд ;37-62
#Опрокид в шахте, компрессор ;37-63
#18 лава лебёдка ;37-64
#Квершлаг, подрывка 19 лавы ;37-65
#Лебёдка 3 заезд ;37-66
#Насос 21,22 лавы 980г. ;37-67
#Насос 15 лавы, ГМУ перекрепление ;37-68
#Пустой ;37-69
#Пустой ;37-70
#Пустой ;37-71
#Доставка ГМУ 6 пикет конвейерная выработка 11 восточной лавы ;37-72
#18 лава распред ;37-73, ШТСИ бит №7
#Конвеерная выработка 1 бис лавы и лебёдка ;37-74
#Пустой ;37-75
#Пресс г.824 ;37-76
#20 лава лебёдка ;37-77, ШТСИ бит №3
#5 блочная лента ;37-78
#Погашение ;37-79
#Бюро ремонта, кросс ;37-80
#3-я блочная лента 824г. ;37-81, кор.шлюз-41
#РП10 посадочная площадка ;37-82
#Электровозный гараж 824г. ;37-83, ШТСИ бит №14
#1-я лента ВПВ 12-14лав ;37-84
#Погашение ;37-85
#Пустой ;37-86
#Питатель 19 лавы ;37-87
#Погашение ;37-88
#3-я лента КПП, питатель ;37-89
#Рукоятка главного ствола ;37-90, ШТСИ бит №12
#ЗПВКШ 3 привод ;37-91
#3-я лента С11 ;37-92
#Бункер (подрывка 19лавы) ;37-93
#Насос ветиляционного ствола ;37-94
#ВПВ и НКХ 1л., лебёдка ;37-95
#Пустой ;37-96
#ВМЦГ 15 лавы 16 пикет вв. ;37-97
#2-я лета ВПВ ;37-98
#Мастерская подземных связистов ;37-99
#Пустой ;38-00
#Пашкова (домашний);38-01
#Пустой ;38-02
#7-я с.л. ЦАТС ;38-03 Coral(6618)
#Пустой ;38-04
#Пустой ;38-05
#Пустой ;38-06
#Пустой ;38-07
#Синицына, Кириченко (домашний) ;38-08
#Пустой ;38-09
#Пустой ;38-10
#Пустой ;38-11
#Пустой ;38-12
#Пустой ;38-13
#Антипенко (домашний) ;38-14
#Пустой ;38-14
#Пустой ;38-15
#Пустой ;38-16
#Пустой ;38-17
#2-я с.л. ЦАТС ;38-18 Coral(6603)
#Пустой ;38-19
#Шлюз №2 ;38-20 (067-616-44-67)
#Кривсун (домашний) ;38-21
#Рябко (домашний) ;38-22
#Хижко (домашний) ;38-23
#Михневич, Жмачинский (домашний) ;38-24
#Пустой ;38-25
#Пустой ;38-26
#Пустой ;38-27
#Прокопенко (домашний) ;38-28
#Якуша (домашний) ;38-29
#Недодил, Суменко (домашний) ;38-30
#Пустой ;38-31
#Пустой ;38-32
#Пустой ;38-33
#4-я с.л. ЦАТС ;38-34 Coral(6610)
#Наконечный (домашний) ;38-35
#Король (домашний) ;38-36
#Бондарь, Базари (домашний) ;38-37
#Гончар (домашний) ;38-38
#Теряник (домашний) ;38-39
#Корниенко (домашний) ;38-40
#Пустой ;38-41
#Пустой ;38-42
#Строков (домашний) ;38-43
#Пустой ;38-44
#Канцидал, Кривич (домашний) ;38-45
#Пустой ;38-46
#Казмин (домашний) ;38-47
#Пустой ;38-48
#Пустой ;38-49
#Пустой ;38-50
#Пустой ;38-51
#Пустой ;38-54
#Гончаров (домашний) ;38-55
#Кравченко, Лёвочкин (домашний) ;38-56
#Галушкин, Стрига (домашний) ;38-57
#Пустой ;38-58
#Фасхутдинов, Гончаров (домашний) ;38-59
#Давыденко (домашний) ;38-60
#Пустой ;38-61
#Пустой ;38-62
#Пустой ;38-63
#Пустой ;38-64
#Пустой ;38-65
#Пустой ;38-66
#Шапочка, Енин (домашний) ;38-67
#6-я с.л. ЦАТС ;38-68 Coral(6632)
#Пустой ;38-69
#Топало (домашний) ;38-70
#Пустой ;38-71
#Пономаренко (домашний) ;38-72
#Пустой ;38-73
#Пустой ;38-74
#Пустой ;38-75
#Радин, Бузанова (домашний) ;38-76
#Гладчук (домашний) ;38-77
#8-я с.л. ЦАТС ;37-78 Coral(6609)
#Ковальчук, Вербовская (домашний) ;38-79
#Пустой ;38-80
#Вьюнсковская, Коротких (домашний) ;38-81
#Пустой ;38-82
#Пустой ;38-83
#Пустой ;38-84
#Ковалев (домашний) ;38-85
#Пустой ;38-86
#Кисиленко (домашний) ;38-87
#Пустой ;38-88
#6-я с.л. ЦАТС ;34-89 Coral(6617)
#Лысенко (домашний) ;38-90
#Пустой ;38-91
#Пустой ;38-92
#Пустой ;38-93
#Пустой ;38-94
#Пустой ;38-95
#Чередниченко, Жовниренко (домашний) ;38-96
#Пустой ;38-97
#Пустой ;38-98
#Пустой ;38-99
#Оператор теплопункта котельной ;39-00
#Медпункт общий телефон ;39-01
#Рукоятка двухконцевого подъёма ;39-02
#Компрессорная ;39-03
#Автоматика общий телефон, дежурный ;39-04
#Пустой ;39-05
#РЗО комбайновый цех ;39-06
#Клетьевой подъём ;39-07
#Диспетчер автотранспорта ;39-08
#Вентилятор главного ствола ;39-09
#1-й угольный подъём (отметка 97) ;39-10
#Одноконцевой подъём клетьевого ствола ;39-11
#Вакуумнасосная ;39-12
#Комната водителей, дежурный ;39-13
#Вентилятор вентиляционного ствола ;39-14
#Пустой ;39-15
#Двухконцевой подъём ;39-16
#Пункт погрузки породы, бункер ;39-17
#ДСО породовыборка, пересып ;39-18
#Приёмосдатчик вагонов ;39-19
#Породный подъём (отметка 79) ;39-20
#Подъём воздухоподающего ствола ;39-21
#ПАЗ УТАС оператор ;39-22
#Пустой ;39-23
#ПТК центральная операторная ;39-24
#Боковой опрокид ;39-25
#Пустой ;39-26
#Электроцех ;39-27
#ПТК бункер конвеерной цепочки ;39-28
#2-й угольный подъём (отметка 87) ;39-29
#Мастерская подземных связистов ;39-30
#Пустой ;39-31
#Пустой ;39-32
#Горный диспетчер аварийный ;39-33
#Пустой ;39-34
#Пустой ;39-35
#Пустой ;39-36
#Нарядная ОТК ;39-37
#Пустой ;39-38
