NazRudy ; 380665456478 
#маркшейдерский отдел главный маркшейдер цыбульник Павел Александрович ;3340 короткий 48 
#маркшейдерский отдел главный геолог Федорчук Александр Николаевич ;3345 
#маркшейдерский отдел замерщики ;3431 
#плановый отдел начальник планового отдела начальника бобрицкая добрицкая Наталья Григорьевна ;3519 
#плановый отдел ;3580 
#плановый отдел статистики ;3334 
#отиз отис аттис начальник отдела Игнатенко Александр Владимирович гнатенко ;3374 короткий 26 
#отиз отис аттис общий ;3556 
#отиз отис аттис Кузьменко Татьяна Михайловна ;3353 
#отиз отис аттис sakovich Сакович соколович Сокович Роман ;3355 
#участок пазл пазлы pazzo utas утас кутас начальник кисиленко киселенко Юрий Викторович ;3313 короткий 74 
#участок пазл пазлы pazzo utas утас кутас механик Перетятько Александр Васильевич ;3500 
#участок пазл пазлы pazzo utas утас кутас склад ;3490 
#участок пазл пазлы pazzo utas утас кутас нарядное нарядная ;3400 
#участок пазл пазлы pazzo utas утас кутас слесарка ;3341 
#участок пазл пазлы pazzo utas утас кутас tk.ua т.к. у ТКУ Т К У ;3505 
#участок пазл пазлы pazzo utas утас кутас мастерская утас utas utos ;3592 
#участок пазл пазлы pazzo utas утас кутас оператор утас utas utos ;3584 3922 
#участок пазл пазлы pazzo utas утас кутас оператор огэ АГЗС а.г. ;3384 
#участок пазл пазлы pazzo utas утас кутас кайбаш огэ а.г. ГДЗ ;3472 
#osu осу АСУ ВВЦ VC vvc начальник отдела Лысенко Елена Николаевна ;3344 короткий 32 
#osu осу АСУ ВВЦ VC vvc общий телефон ;3598 
#osu осу АСУ ВВЦ VC vvc машинный зал ;3494 
#osu осу АСУ ВВЦ VC vvc компьютерный зал ;3346 
#osu осу АСУ ВВЦ VC vvc программисты программист ;3388 
#osu осу АСУ ВВЦ VC vvc Беляев Олег Николаевич ;3391 
#osu осу АСУ ВВЦ VC vvc мастерская ;3348 
#osu осу АСУ ВВЦ VC vvc телетайп teletype ;3507 
#osu осу АСУ ВВЦ VC vvc машбюро ;3498 
#гараж гаражи начальник Ату ОТУ тату брыков Владимир Иванович ;3547 короткий 63 
#гараж гаражи диспетчер автотранспорта по автотранспорту ;3386 3908 
#гараж гаражи дежурный водитель комната водителей ;3913 
#гараж гаражи водитель комната водителей директора ;3510 
